Extracted_Code,acc. date,fat.,Airport Code,Longitude,Latitude
CDU,1 Jan 1950,2,CDU,150.687222,-34.040278
SVX,5 Jan 1950,19,SVX,60.6,56.85
RGN,18 Jan 1950,0,RGN,96.133333,16.852778
BDS,20 Jan 1950,0,BDS,17.95,40.65
LPB,1 Jan 1951,,LPB,-68.192222,-16.513333
WJU,4 Jan 1951,0,WJU,127.945278,37.351389
MAD,4 Jan 1951,2,MAD,-3.566667,40.466667
MDW,4 Jan 1951,0,MDW,-87.75,41.783333
KZN,9 Jan 1951,6,KZN,49.0,55.8
VOG,9 Jan 1952,3,VOG,44.5,48.75
RDU,2 Jan 1953,3,RDU,-78.7875,35.877778
JKG,11 Jan 1953,2,JKG,14.068611,57.7575
UAK,1 Jan 1954,0,UAK,-45.372222,61.148611
TEB,5 Jan 1954,0,TEB,-74.060833,40.85
BEY,6 Jan 1954,0,BEY,35.488333,33.820833
TLL,8 Jan 1954,1,TLL,24.832778,59.413333
PRG,12 Jan 1954,13,PRG,14.433333,50.066667
CIA,14 Jan 1954,16,CIA,12.595,41.799444
PIE,10 Jan 1955,0,PIE,-82.6875,27.910556
MQY,11 Jan 1955,2,MQY,-86.516667,35.983333
CVG,12 Jan 1955,2+13,CVG,-84.667778,39.048889
CVG,12 Jan 1955,13+2,CVG,-84.667778,39.048889
BKA,13 Jan 1955,5,BKA,38.06,55.617222
YXU,15 Jan 1955,0,YXU,-81.153889,43.035556
LHR,15 Jan 1955,0,LHR,-0.451389,51.469722
SDU,1 Jan 1956,0,SDU,-43.25,-22.833333
MLA,13 Jan 1956,0,MLA,14.483333,35.866667
REG,2 Jan 1957,0,REG,15.65,38.066667
VCV,5 Jan 1957,0,VCV,-117.383056,34.5975
TUL,6 Jan 1957,1,TUL,-95.888056,36.198333
AEP,11 Jan 1957,17+1,AEP,-58.415556,-34.559167
YED,6 Jan 1958,0,YED,-113.6,53.319444
BOC,7 Jan 1958,0,BOC,-82.25,9.35
PIS,8 Jan 1958,0,PIS,0.3,46.583333
FSS,10 Jan 1958,2,FSS,-3.566667,57.65
SDU,11 Jan 1958,0,SDU,-43.25,-22.833333
EQS,14 Jan 1958,7,EQS,-71.15,-42.916667
NHK,14 Jan 1958,9,NHK,-76.411667,38.286111
BEL,16 Jan 1958,3,BEL,-48.468611,-1.383611
GUS,4 Jan 1959,3,GUS,-86.152222,40.648056
MBP,4 Jan 1959,0,MBP,-77.016667,-5.975
SDU,6 Jan 1959,0,SDU,-43.25,-22.833333
GIG,11 Jan 1959,36,GIG,-43.243611,-22.808889
BDL,15 Jan 1959,2,BDL,-72.683333,41.938889
MIA,17 Jan 1959,0,MIA,-80.266667,25.783333
PHL,3 Jan 1960,0,PHL,-75.241111,39.871944
DNO,4 Jan 1960,0,DNO,-46.85,-11.616667
MLA,5 Jan 1960,0,MLA,14.483333,35.866667
LED,7 Jan 1960,0,LED,30.05,59.95
LHR,7 Jan 1960,0,LHR,-0.451389,51.469722
KRP,9 Jan 1960,,KRP,9.116667,56.3
SKS,19 Jan 1960,0,SKS,9.266667,55.233333
ESB,19 Jan 1960,42,ESB,33.0,40.133333
PRG,2 Jan 1961,10,PRG,14.433333,50.066667
VRA,9 Jan 1961,3,VRA,-81.3,23.133333
SPM,9 Jan 1961,0,SPM,6.683333,49.983333
VRA,9 Jan 1961,3,VRA,-81.3,23.133333
TIF,10 Jan 1961,,TIF,40.415833,21.270278
HOP,15 Jan 1961,5,HOP,23.666667,50.516667
KBL,2 Jan 1962,0,KBL,69.212222,34.565833
BZE,6 Jan 1962,1,BZE,-88.3,17.533333
SLZ,8 Jan 1962,0,SLZ,-44.234167,-2.585277999999999
TIE,13 Jan 1962,5+1,TIE,35.45,7.2
BOO,18 Jan 1962,0,BOO,14.366667,67.266667
NGZ,7 Jan 1963,0,NGZ,-1.283333,49.266667
ADQ,10 Jan 1963,7,ADQ,-152.483333,57.75
YQM,11 Jan 1963,0,YQM,-64.678611,46.112222
MEM,13 Jan 1963,1,MEM,-89.966667,35.066667
MEM,13 Jan 1963,0,MEM,-89.966667,35.066667
CGH,15 Jan 1963,6+7,CGH,-46.655278,-23.626667
CMB,15 Jan 1963,0,CMB,79.883056,7.179167
CIA,19 Jan 1963,0,CIA,12.595,41.799444
AID,2 Jan 1964,0,AID,34.866667,32.4
ASU,3 Jan 1964,,ASU,-57.666667,-25.266667
ALA,4 Jan 1965,64,ALA,77.040278,43.351944
LIZ,4 Jan 1965,4,LIZ,-67.885833,46.950556
AWK,11 Jan 1965,6,AWK,166.65,19.283333
FOE,11 Jan 1965,0,FOE,-95.663611,38.950833
FOE,11 Jan 1965,0,FOE,-95.663611,38.950833
IST,14 Jan 1965,1,IST,28.821111,40.976944
YIP,14 Jan 1965,2,YIP,-83.383333,42.25
IDO,15 Jan 1965,,IDO,-50.666111,-11.572222
YVT,2 Jan 1966,3,YVT,-108.4175,55.841944
PXU,6 Jan 1966,5,PXU,108.021389,14.003056
CTG,14 Jan 1966,56,CTG,-75.516667,10.45
ITO,6 Jan 1967,3,ITO,-155.05,19.716667
BNE,6 Jan 1967,0,BNE,153.116667,-27.383333
NSF,9 Jan 1967,9,NSF,100.55,19.35
OVB,14 Jan 1967,6,OVB,83.0,55.033333
UOX,1 Jan 1968,0,UOX,-89.533333,34.383333
EDW,2 Jan 1968,0,EDW,-117.883333,34.9
CIA,9 Jan 1968,1,CIA,12.595,41.799444
KGF,9 Jan 1968,0,KGF,73.166667,49.833333
BEY,9 Jan 1968,0,BEY,35.488333,33.820833
LBG,1 Jan 1969,0,LBG,2.45,48.966667
HAV,2 Jan 1969,0,HAV,-82.383333,23.016667
NUW,3 Jan 1969,,NUW,-122.655833,48.351667
LGW,5 Jan 1969,48+2,LGW,-0.190278,51.148056
BFD,6 Jan 1969,11,BFD,-78.633333,41.8
SCU,7 Jan 1969,0,SCU,-75.866667,19.966667
HAV,9 Jan 1969,0,HAV,-82.383333,23.016667
HAV,11 Jan 1969,0,HAV,-82.383333,23.016667
HAV,11 Jan 1969,0,HAV,-82.383333,23.016667
MIA,13 Jan 1969,0,MIA,-80.266667,25.783333
SYA,13 Jan 1969,0,SYA,174.1,52.716667
HAV,1 Jan 1970,0,HAV,-82.383333,23.016667
VCA,3 Jan 1970,0,VCA,105.711944,10.085
ARN,5 Jan 1970,5,ARN,17.918611,59.651944
JAX,6 Jan 1970,0,JAX,-81.633333,30.416667
ZAZ,7 Jan 1970,0,ZAZ,-1.019444,41.666667
BEY,8 Jan 1970,0,BEY,35.488333,33.820833
PAT,9 Jan 1970,0,PAT,85.089722,25.590278
HRL,11 Jan 1970,0,HRL,-97.75,26.2
TIP,2 Jan 1971,16,TIP,13.156667,32.669444
HAV,3 Jan 1971,0,HAV,-82.383333,23.016667
ORY,4 Jan 1971,0,ORY,2.383333,48.716667
LGA,4 Jan 1971,0,LGA,-73.866667,40.766667
ZRH,18 Jan 1971,45,ZRH,8.549167,47.464722
YVQ,5 Jan 1972,0,YVQ,-126.8,65.283333
HAV,7 Jan 1972,0,HAV,-82.383333,23.016667
IBZ,7 Jan 1972,104,IBZ,1.35,38.866667
MNL,9 Jan 1972,0,MNL,121.016667,14.516667
DAL,12 Jan 1972,0,DAL,-96.85,32.852778
NHK,15 Jan 1972,0,NHK,-76.411667,38.286111
VCT,18 Jan 1972,9,VCT,-96.916667,28.85
BWI,2 Jan 1973,0,BWI,-76.668333,39.175278
YEG,2 Jan 1973,5,YEG,-113.579722,53.309722
YVR,4 Jan 1973,0,YVR,-123.183333,49.193889
PNK,19 Jan 1973,0,PNK,109.383333,-0.05
TRN,1 Jan 1974,38,TRN,7.649722,45.200833
ANR,2 Jan 1974,0,ANR,4.460278,51.189444
KIN,3 Jan 1974,0,KIN,-76.783333,17.933333
BOG,5 Jan 1974,0,BOG,-74.138333,4.703056
JST,6 Jan 1974,12,JST,-78.833333,40.316667
MAA,7 Jan 1974,0,MAA,80.175278,12.994722
VTB,7 Jan 1974,26,VTB,30.349722,55.126389
VXC,8 Jan 1974,0,VXC,35.25,-13.283333
LAX,16 Jan 1974,0,LAX,-118.407222,33.9425
FTW,18 Jan 1974,0,FTW,-96.85,32.855556
PNS,3 Jan 1975,0,PNS,-87.183333,30.466667
STN,7 Jan 1975,0,STN,0.233332999999999,51.883333
AKT,9 Jan 1975,,AKT,32.958333,34.604167
BNB,9 Jan 1975,0+1,BNB,20.833333,-0.233332999999999
CPH,1 Jan 1976,0,CPH,12.655833,55.618056
IST,2 Jan 1976,0,IST,28.821111,40.976944
VKO,3 Jan 1976,61+1,VKO,37.266667,55.583333
ANC,3 Jan 1976,6,ANC,-149.996389,61.174444
MNL,5 Jan 1976,0,MNL,121.016667,14.516667
MDC,7 Jan 1976,0,MDC,124.916667,1.533332999999999
PRG,2 Jan 1977,0,PRG,14.433333,50.066667
PRG,2 Jan 1977,0,PRG,14.433333,50.066667
VCP,4 Jan 1977,0,VCP,-47.134444,-23.0075
BFO,6 Jan 1977,3,BFO,31.583333,-21.016667
FNT,6 Jan 1977,2,FNT,-83.743611,42.965556
SRI,10 Jan 1977,,SRI,117.15,-0.5
BKK,11 Jan 1977,0,BKK,100.747222,13.681111
LHR,11 Jan 1977,0,LHR,-0.451389,51.469722
ALA,13 Jan 1977,90,ALA,77.040278,43.351944
ANC,13 Jan 1977,5,ANC,-149.996389,61.174444
YXT,14 Jan 1977,12,YXT,-128.576111,54.468611
MIA,15 Jan 1977,0,MIA,-80.266667,25.783333
BMA,15 Jan 1977,22,BMA,17.95,59.352778
SJJ,18 Jan 1977,8,SJJ,18.35,43.816667
BOM,1 Jan 1978,213,BOM,72.868056,19.088611
KYL,4 Jan 1978,0,KYL,-80.4,25.083333
FKI,6 Jan 1978,3,FKI,25.338056,0.481666999999999
RMS,17 Jan 1978,0,RMS,7.55,49.45
MGA,5 Jan 1979,,MGA,-86.183333,12.133333
JUI,12 Jan 1979,0,JUI,7.0,53.683333
CIB,14 Jan 1979,0,CIB,-118.416389,33.416389
MHP,15 Jan 1979,13,MHP,28.0,54.0
BEY,16 Jan 1979,0,BEY,35.488333,33.820833
CER,17 Jan 1979,0,CER,-1.466667,49.65
EGO,18 Jan 1979,3,EGO,36.65,50.633333
