Extracted_Code,fat.,Airport Code,longitude,latitude,id,station,elevation,CDSD,CLDD,DP1X,DT00,DX90,DYHF,DYTS,EMSN,EMXP,PRCP,SNOW,WSFG
VCA,0,VCA,106.0,10.0,1420728,VMW00041016,2.1,3648.5,3648.5,20.0,0.0,167.0,,75.0,0.0,106.7,1813.4,0.0,
VCA,0,VCA,106.0,10.0,1420729,VMW00041016,2.1,3497.6,3497.6,14.0,0.0,149.0,,56.0,0.0,62.2,1435.1,0.0,
ARN,5,ARN,18.0,60.0,766316,SWE00138982,20.0,,,0.0,,,,,,24.0,397.1,,
ARN,5,ARN,18.0,60.0,766317,SWE00138982,20.0,,,0.0,,,,,,25.0,636.9,,
ARN,5,ARN,18.0,60.0,766318,SWE00138982,20.0,,,0.0,,,,,,18.8,436.7,,
ARN,5,ARN,18.0,60.0,766319,SWE00138982,20.0,,,0.0,,,,,,20.3,426.0,,
ARN,5,ARN,18.0,60.0,766320,SWE00138982,20.0,,,1.0,,,,,,31.6,566.9,,
ARN,5,ARN,18.0,60.0,766321,SWE00138982,20.0,,,1.0,,,,,,30.7,514.4,,
ARN,5,ARN,18.0,60.0,766322,SWE00138982,20.0,,,0.0,,,,,,21.3,445.8,,
ARN,5,ARN,18.0,60.0,766323,SWE00138982,20.0,,,2.0,,,,,,40.3,728.8,,
ARN,5,ARN,18.0,60.0,766324,SWE00138982,20.0,,,2.0,,,,,,43.7,602.2,,
ARN,5,ARN,18.0,60.0,766325,SWE00138982,20.0,,,1.0,,,,,,26.5,601.7,,
ARN,5,ARN,18.0,60.0,766326,SWE00138982,20.0,,,1.0,,,,,,32.8,543.5,,
ARN,5,ARN,18.0,60.0,766327,SWE00138982,20.0,,,0.0,,,,,,19.7,379.7,,
ARN,5,ARN,18.0,60.0,766328,SWE00138982,20.0,,,2.0,,,,,,39.7,593.8,,
ARN,5,ARN,18.0,60.0,766329,SWE00138982,20.0,,,2.0,,,,,,36.7,597.4,,
ARN,5,ARN,18.0,60.0,766330,SWE00138982,20.0,,,2.0,,,,,,30.3,677.3,,
ARN,5,ARN,18.0,60.0,766331,SWE00138982,20.0,,,2.0,,,,,,39.4,594.0,,
ARN,5,ARN,18.0,60.0,766332,SWE00138982,20.0,,,2.0,,,,,,38.3,489.3,,
ARN,5,ARN,18.0,60.0,766333,SWE00138982,20.0,,,0.0,,,,,,16.8,455.3,,
ARN,5,ARN,18.0,60.0,766334,SWE00138982,20.0,,,1.0,,,,,,28.8,416.9,,
ARN,5,ARN,18.0,60.0,766335,SWE00138982,20.0,,,0.0,,,,,,25.3,427.8,,
ARN,5,ARN,18.0,60.0,766336,SWE00138982,20.0,,,1.0,,,,,,31.0,523.6,,
ARN,5,ARN,18.0,60.0,766337,SWE00138982,20.0,,,1.0,,,,,,31.5,690.8,,
ARN,5,ARN,18.0,60.0,766338,SWE00138982,20.0,,,0.0,,,,,,22.1,398.7,,
ARN,5,ARN,18.0,60.0,766339,SWE00138982,20.0,,,1.0,,,,,,44.4,490.4,,
ARN,5,ARN,18.0,60.0,766340,SWE00138982,20.0,,,3.0,,,,,,48.5,652.4,,
ARN,5,ARN,18.0,60.0,766341,SWE00138982,20.0,,,1.0,,,,,,29.8,508.7,,
ARN,5,ARN,18.0,60.0,766342,SWE00138982,20.0,,,1.0,,,,,,29.8,638.3,,
ARN,5,ARN,18.0,60.0,766343,SWE00138982,20.0,,,3.0,,,,,,35.8,710.4,,
ARN,5,ARN,18.0,60.0,766344,SWE00138982,20.0,,,0.0,,,,,,19.7,614.1,,
ARN,5,ARN,18.0,60.0,766345,SWE00138982,20.0,,,0.0,,,,,,21.4,465.0,,
ARN,5,ARN,18.0,60.0,766346,SWE00138982,20.0,,,1.0,,,,,,26.0,498.6,,
ARN,5,ARN,18.0,60.0,766347,SWE00138982,20.0,,,0.0,,,,,,21.4,626.4,,
ARN,5,ARN,18.0,60.0,766348,SWE00138982,20.0,,,0.0,,,,,,21.9,573.8,,
ARN,5,ARN,18.0,60.0,766349,SWE00138982,20.0,,,3.0,,,,,,52.0,655.5,,
ARN,5,ARN,18.0,60.0,766350,SWE00138982,20.0,,,0.0,,,,,,25.3,567.7,,
ARN,5,ARN,18.0,60.0,766351,SWE00138982,20.0,,,0.0,,,,,,24.8,632.4,,
ARN,5,ARN,18.0,60.0,766352,SWE00138982,20.0,,,0.0,,,,,,24.1,427.2,,
